time,avg_queue,total_queue,icp,sas,ev_count,ev_speed,gwsr,cvdi
2961.0,9.5,114.0,0.0475,1.0,0,0.0,1.0,81.835
2962.0,9.5,114.0,0.0475,1.0,0,0.0,1.0,82.44
2963.0,9.5,114.0,0.0475,1.0,0,0.0,1.0,83.035
2964.0,9.5,114.0,0.0475,1.0,0,0.0,1.0,83.925
2965.0,9.666666666666666,116.0,0.04833333333333333,1.0,0,0.0,1.0,84.71
2966.0,9.583333333333334,115.0,0.04791666666666667,1.0,0,0.0,1.0,83.55
2967.0,9.666666666666666,116.0,0.04833333333333333,1.0,0,0.0,1.0,80.785
2968.0,9.416666666666666,113.0,0.04708333333333333,1.0,0,0.0,1.0,78.085
2969.0,9.416666666666666,113.0,0.04708333333333333,1.0,0,0.0,1.0,76.87
2970.0,9.416666666666666,113.0,0.04708333333333333,1.0,0,0.0,1.0,77.25
2971.0,9.5,114.0,0.0475,1.0,0,0.0,1.0,78.1
2972.0,9.5,114.0,0.0475,1.0,0,0.0,1.0,78.955
2973.0,9.5,114.0,0.0475,1.0,0,0.0,1.0,79.815
2974.0,9.583333333333334,115.0,0.04791666666666667,1.0,0,0.0,1.0,80.68
2975.0,9.583333333333334,115.0,0.04791666666666667,1.0,0,0.0,1.0,81.55
2976.0,9.583333333333334,115.0,0.04791666666666667,1.0,0,0.0,1.0,83.115
2977.0,9.666666666666666,116.0,0.04833333333333333,1.0,0,0.0,1.0,83.995
2978.0,9.583333333333334,115.0,0.04791666666666667,1.0,0,0.0,1.0,84.875
2979.0,9.583333333333334,115.0,0.04791666666666667,1.0,0,0.0,1.0,85.05
2980.0,9.583333333333334,115.0,0.04791666666666667,1.0,0,0.0,1.0,85.925
2981.0,9.583333333333334,115.0,0.04791666666666667,1.0,0,0.0,1.0,87.515
2982.0,9.916666666666666,119.0,0.04958333333333333,1.0,0,0.0,1.0,89.03
2983.0,10.0,120.0,0.05,1.0,0,0.0,1.0,90.135
2984.0,10.166666666666666,122.0,0.050833333333333335,1.0,0,0.0,1.0,91.07
2985.0,10.166666666666666,122.0,0.050833333333333335,1.0,0,0.0,1.0,92.015
2986.0,10.166666666666666,122.0,0.050833333333333335,1.0,0,0.0,1.0,92.965
2987.0,10.333333333333334,124.0,0.051666666666666666,1.0,0,0.0,1.0,93.92
2988.0,10.333333333333334,124.0,0.051666666666666666,1.0,0,0.0,1.0,94.88
2989.0,10.5,126.0,0.0525,1.0,0,0.0,1.0,95.615
2990.0,10.333333333333334,124.0,0.051666666666666666,1.0,0,0.0,1.0,95.905
2991.0,10.333333333333334,124.0,0.051666666666666666,1.0,0,0.0,1.0,96.09
2992.0,10.166666666666666,122.0,0.050833333333333335,1.0,0,0.0,1.0,96.98
2993.0,10.166666666666666,122.0,0.050833333333333335,1.0,0,0.0,1.0,97.865
2994.0,10.166666666666666,122.0,0.050833333333333335,1.0,0,0.0,1.0,98.745
2995.0,10.166666666666666,122.0,0.050833333333333335,1.0,0,0.0,1.0,99.675
2996.0,10.166666666666666,122.0,0.050833333333333335,1.0,0,0.0,1.0,100.605
2997.0,10.333333333333334,124.0,0.051666666666666666,1.0,0,0.0,1.0,101.54
2998.0,10.333333333333334,124.0,0.051666666666666666,1.0,0,0.0,1.0,102.48
2999.0,10.333333333333334,124.0,0.051666666666666666,1.0,0,0.0,1.0,104.23
3000.0,10.333333333333334,124.0,0.051666666666666666,1.0,0,0.0,1.0,105.895
3001.0,10.5,126.0,0.0525,1.0,0,0.0,1.0,106.85
3002.0,10.333333333333334,124.0,0.051666666666666666,1.0,0,0.0,1.0,107.08
3003.0,10.25,123.0,0.05125,1.0,0,0.0,1.0,105.7
3004.0,10.166666666666666,122.0,0.050833333333333335,1.0,0,0.0,1.0,103.95
3005.0,10.083333333333334,121.0,0.050416666666666665,1.0,0,0.0,1.0,101.01
3006.0,10.083333333333334,121.0,0.050416666666666665,1.0,0,0.0,1.0,99.56
3007.0,10.083333333333334,121.0,0.050416666666666665,1.0,0,0.0,1.0,99.285
3008.0,10.166666666666666,122.0,0.050833333333333335,1.0,0,0.0,1.0,100.19
3009.0,10.166666666666666,122.0,0.050833333333333335,1.0,0,0.0,1.0,101.1
3010.0,10.25,123.0,0.05125,1.0,0,0.0,1.0,102.02
3011.0,10.25,123.0,0.05125,1.0,0,0.0,1.0,102.945
3012.0,10.333333333333334,124.0,0.051666666666666666,1.0,0,0.0,1.0,103.88
3013.0,10.166666666666666,122.0,0.050833333333333335,1.0,0,0.0,1.0,104.17
3014.0,10.0,120.0,0.05,1.0,0,0.0,1.0,104.015
3015.0,10.0,120.0,0.05,1.0,0,0.0,1.0,103.835
3016.0,9.75,117.0,0.04875,1.0,0,0.0,1.0,104.62
3017.0,9.75,117.0,0.04875,1.0,0,0.0,1.0,105.4
3018.0,9.75,117.0,0.04875,1.0,0,0.0,1.0,106.15
3019.0,9.75,117.0,0.04875,1.0,0,0.0,1.0,107.01
3020.0,9.916666666666666,119.0,0.04958333333333333,1.0,0,0.0,1.0,107.87
3021.0,9.916666666666666,119.0,0.04958333333333333,1.0,0,0.0,1.0,108.75
3022.0,9.916666666666666,119.0,0.04958333333333333,1.0,0,0.0,1.0,109.63
3023.0,9.916666666666666,119.0,0.04958333333333333,1.0,0,0.0,1.0,110.51
3024.0,9.916666666666666,119.0,0.04958333333333333,1.0,0,0.0,1.0,111.39
3025.0,10.0,120.0,0.05,1.0,0,0.0,1.0,111.445
3026.0,9.916666666666666,119.0,0.04958333333333333,1.0,0,0.0,1.0,111.46
3027.0,9.916666666666666,119.0,0.04958333333333333,1.0,0,0.0,1.0,111.5
3028.0,9.916666666666666,119.0,0.04958333333333333,1.0,0,0.0,1.0,112.365
3029.0,9.916666666666666,119.0,0.04958333333333333,1.0,0,0.0,1.0,113.23
3030.0,10.083333333333334,121.0,0.050416666666666665,1.0,0,0.0,1.0,114.1
3031.0,10.083333333333334,121.0,0.050416666666666665,1.0,0,0.0,1.0,114.975
3032.0,10.083333333333334,121.0,0.050416666666666665,1.0,0,0.0,1.0,115.855
3033.0,10.083333333333334,121.0,0.050416666666666665,1.0,0,0.0,1.0,116.735
3034.0,10.083333333333334,121.0,0.050416666666666665,1.0,0,0.0,1.0,117.615
3035.0,10.25,123.0,0.05125,1.0,0,0.0,1.0,118.5
3036.0,10.25,123.0,0.05125,1.0,0,0.0,1.0,119.39
3037.0,10.25,123.0,0.05125,1.0,0,0.0,1.0,119.41
3038.0,10.25,123.0,0.05125,1.0,0,0.0,1.0,120.3
3039.0,10.25,123.0,0.05125,1.0,0,0.0,1.0,121.19
3040.0,10.25,123.0,0.05125,1.0,0,0.0,1.0,122.97
3041.0,10.333333333333334,124.0,0.051666666666666666,1.0,0,0.0,1.0,123.87
3042.0,10.333333333333334,124.0,0.051666666666666666,1.0,0,0.0,1.0,124.775
3043.0,10.333333333333334,124.0,0.051666666666666666,1.0,0,0.0,1.0,125.685
3044.0,10.333333333333334,124.0,0.051666666666666666,1.0,0,0.0,1.0,126.595
3045.0,10.333333333333334,124.0,0.051666666666666666,1.0,0,0.0,1.0,127.505
3046.0,10.333333333333334,124.0,0.051666666666666666,1.0,0,0.0,1.0,128.415
3047.0,10.166666666666666,122.0,0.050833333333333335,1.0,0,0.0,1.0,127.82
3048.0,10.0,120.0,0.05,1.0,0,0.0,1.0,125.72
3049.0,9.833333333333334,118.0,0.049166666666666664,1.0,0,0.0,1.0,121.385
3050.0,9.833333333333334,118.0,0.049166666666666664,1.0,0,0.0,1.0,119.47
3051.0,9.666666666666666,116.0,0.04833333333333333,1.0,0,0.0,1.0,118.96
3052.0,10.0,120.0,0.05,1.0,0,0.0,1.0,120.69
3053.0,10.0,120.0,0.05,1.0,0,0.0,1.0,121.48
3054.0,10.166666666666666,122.0,0.050833333333333335,1.0,0,0.0,1.0,122.365
3055.0,10.166666666666666,122.0,0.050833333333333335,1.0,0,0.0,1.0,123.255
3056.0,10.166666666666666,122.0,0.050833333333333335,1.0,0,0.0,1.0,124.15
